match,home_goals,away_goals,tournament,kick-off,stadium,gols,assist
Flamengo x Audax-RJ,1,0,Carioca - Taça Guanabara - Round 5,23-01-12 21:30:00,Maracanã-RJ,Matheus França,Thiaguinho
Flamengo x Portuguesa-RJ,4,1,Carioca - Taça Guanabara - Round 1,23-01-15 18:00:00,Maracanã-RJ,Pedro-Gabi-Fabricio Bruno-Thiago Maia,Ayrton Lucas-Pedro-Pedro-Matheuzinho
Madureira-RJ x Flamengo,0,0,Carioca - Taça Guanabara - Round 2,23-01-18 19:00:00,Kléber Andrade-ES, -, -
Flamengo x Nova Iguaçu-RJ,5,0,Carioca - Taça Guanabara - Round 3,23-01-21 16:00:00,Maracanã-RJ,Pedro-Fabrício Bruno-Gabi-Gabi-Pedro,Matheuzinho-Everton-Matheuzinho-Filipe Luis-Arrascaeta
Bangu-RJ x Flamengo,1,1,Carioca - Taça Guanabara - Round 4,23-01-24 21:10:00,Raulino de Oliveira-RJ,Lorran,Mateusão
